category,path,name,size
Water Resources,310statewise-distribution-deep-tubewells-according-majormedium-irrigation-command-2nd-census,Statewise Distribution of Deep Tubewells according to major/medium irrigation command for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,310village-wise-distribution-deep-tubewells-according-majormedium-irrigation-command-2nd-cen,Village wise Distribution of Deep Tubewells according to major/medium irrigation command for 2nd Census of Minor Irrigation Schemes (1993-94),1.96 MB
Water Resources,311block-wise-distribution-deep-tubewells-according-average-pumping-hours-during-peak-season,Block wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94),0.311 MB
Water Resources,311district-wise-distribution-deep-tubewells-according-average-pumping-hours-during-peak-sea,District wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94),0.021 MB
Water Resources,311statewise-distribution-deep-tubewells-according-average-pumping-hours-during-peak-season-,Statewise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,311village-wise-distribution-deep-tubewells-according-average-pumping-hours-during-peak-seas,Village wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94),2.16 MB
Water Resources,312block-wise-distribution-deep-tubewells-according-average-length-water-conveyance-channel-,Block wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94),0.272 MB
Water Resources,312district-wise-distribution-deep-tubewells-according-average-length-water-conveyance-chann,District wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94),0.019 MB
Water Resources,312statewise-distribution-deep-tubewells-according-average-length-water-conveyance-channel-2,Statewise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,312village-wise-distribution-deep-tubewells-according-average-length-water-conveyance-channe,Village wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94),2.15 MB
Water Resources,313block-wise-culturable-command-area-and-potential-created-through-deep-tubewells-2nd-censu,Block wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),0.309 MB
Water Resources,313district-wise-culturable-command-area-and-potential-created-through-deep-tubewells-2nd-ce,District wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),0.022 MB
Water Resources,313statewise-culturable-command-area-and-potential-created-through-deep-tubewells-2nd-census,Statewise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,313village-wise-culturable-command-area-and-potential-created-through-deep-tubewells-2nd-cen,Village wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),2.18 MB
